p_productImg,p_productName,p_price,p_description,p_categoryId
f48419d6-9140-4365-ae79-1e4f51c0cdbc.jpg,"ЕвроПродукт №1,автопоилка для грызуна,пластиковая,с креплением,125 мл.",900,"N1 Автопоилка для грызуна,  пластиковая,  с креплением,  125 мл.Артикул: Дп1402Бренд: N1Вес: 0.08..",39
3f23dbca-c18a-4669-b510-f1cd27c74e26.jpg,"ЕвроПродукт №1,автопоилка для грызуна,пластиковая,с креплением,250 мл.",1 200,"Поилка для грызунов N1 с креплением, 250 мл.поилка для грызунов с креплением.Отзывы о поилки для грызунов N1, вы можете оставить у нас на сайте.Артикул: Дп1403Продукт: поилкиБренд: N1Вес: 0.08Питомец: для грызуновСтрана-производитель:Россия..",39
722401f9-ad2c-4222-a297-9f0572aa2374.jpg,"Зооник,дом пластмассовый квадратный для грызунов,комплект",890,The description is not specified,39
2978f0a6-460b-4fd8-90f8-5387915c195d.jpg,"Зооник,дом пластмассовый квадратный для грызунов,комплект",1 000,The description is not specified,39
77172070-43f0-4acd-b380-b6463ac2f740.jpg,"Зооник,колесо пластмассовое большое для грызунов с подставкой",560,The description is not specified,39
f16b9f3f-2b25-4970-8926-5fb723fef0de.jpg,"Зооник,колесо пластмассовое для хомяка,100 мм.",810,The description is not specified,39
41a2284b-3457-44c6-b91f-a0311e85ac5f.jpg,"Зооник,колесо пластмассовое малое для грызунов с подставкой",580,The description is not specified,39
