p_productImg,p_productName,p_price
647a7935-0a78-4d29-8e03-5d3c2f26aa9e.jpg,Каскад - Ошейник №36 2 слоя не украшенный,3 500 
5729b1d9-0b45-4f0e-8cb8-447acd5c2faa.jpg,Чистотел - Ошейник домик для кошек 35 см,350 
70a99487-ddf9-4878-933a-cca23dd07a2f.jpg,"Whiskas (Вискас) - Влажный корм для кошек желе с индейкой, пауч 85 г",130 
ecb0fa1a-e005-4641-8e88-ee0d3ef1b663.jpg,"Edel cat (Эдель Кэт) - В соусе утка и кролик 0,1 кг пауч",400 
f4feab06-eff9-4bd1-b481-622df367c844.jpg,"Royal Canin (Роял Канин) - Indoor 27, корм для кошек, живущих дома, 10 кг",33 600 
ae80bf20-3d70-4857-96d7-cf82def64580.jpg,ЗООмир - Корм-лакомство грызунчик-4 овощное ассорти 200 г,800 
3faa6af1-af1c-44da-99d2-13c7f2ae09bf.jpg,"Гестренол - Капли для котов для регуляции половой охоты, упаковка 1,5 мл",1 300 
d0ca61b7-a4f7-4c10-b0a8-5d083f458d3e.jpg,"Royal Canin (Роял Канин) - Maine Coon, корм для мейн кунов (развес)",4 300 
fe74d1a3-caf5-4850-8294-fa7fe21781d7.jpg,Triol (Триол) - Поилка для грызунов B2-500 ML,2 800 
d4300f02-58e7-45e6-810a-aaee6b0fbbee.jpg,"АВЗ - Бриллиантовые Глаза, глазные капли для собак и кошек, флакон 10 мл",1 600 
bfbc2d0f-8564-4f15-ad0d-eb088d96db26.jpg,Сибирская кошка - Туалет глубокий с бортиком(2385),1 400 
9a86fc5e-7d18-4f5f-b193-b1179dec2f41.jpg,"Cat Chow (Кет чау) - Adult Duck, корм для кошек с уткой (развес)",1 300 
9e48e5ca-631a-4300-ad4c-b1adb7b9014c.jpg,"Fresh Step (Фреш Степ) - Впитывающий наполнитель, 9,52 кг (18 л)",11 000 
b1e151a6-72d3-43b7-9f3b-57cf3d4af0b6.jpg,Лесной - Древесный наполнитель (развес),300 
b3a47a1b-8084-411b-9456-20654e600a8a.jpg,"Mr.Fresh (Мистер Фреш) - Ликвидатор запаха кошачьих туалетов 2 в 1, порошок, 500 г",1 200 
91d91924-15c5-4fa4-9386-98a4b61bebbd.jpg,БАР - Корм для рыб гаммарус измельченный 25г,150 
32c12b49-8ca9-4aaf-b95d-7569cdb97772.jpg,"Ешка - Кормовая смесь для волнистых попугаев с орехом, 500 г",450 
a88c18af-1295-4a83-9827-7acf9e5f3fb4.jpg,№1 - Поилка для грызунов 500 мл №1 1404,3 000 
62dfe003-d716-48f0-b2f6-d44f10d92519.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и кроликом в соусе, пауч 85 г",185 
b5009eb9-f12a-45bd-bdf0-7ba57b722cd9.jpg,"Whiskas (Вискас) - Мини-филе курица желе, пауч 85 г",130 
cf4b4a8d-7402-4a07-b269-abe8b261674b.jpg,Сибирская кошка - Наполнитель лесной 7 л,1 300 
4baf327f-c6af-4686-a4d5-aff4dbcae17d.jpg,Triol (Триол) - Поилка для грызунов B2-250 ML,2 000 
1912ff9e-41b2-4d4c-97e6-c97b048fbf75.jpg,Haoyu (Хаою) - Силикагелевый Наполнитель - Цветные гранулы (развес),Нет в наличии
cf7e2b8a-faf3-475c-adc3-3bafc1ac7323.jpg,"Sima (Сима) - Ролик для чистки одежды, 18х19х6,5 см",1 400 
569f290d-4c64-40f3-b5a2-32dd4fb1d41e.jpg,Triol (Триол) - Игрушка «Трекбол» открытый для кошек Р1108-1,4 000 
cdc59524-4921-467f-80de-e883aca8399c.jpg,"Edel cat (Эдель Кэт) - Крем-суп со вкумом птица-печень, 1 шт",250 
e810d168-f6b5-408c-9a95-b5c8a14f84ea.jpg,"Ешка - Корм для всех животных и птиц, пшеница , 500 г",450 
ee3926a9-fd87-4356-8b9a-5e6e718388c4.jpg,"Whiskas (Вискас) - Влажный корм для кошек паштет с уткой, пауч 85 г",130 
0bd32ff8-3a4d-4d0c-b9b6-0c9b434b6c80.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и индейкой в соусе, пауч 85 г",185 
2152985e-fc39-4084-b414-cc61c70a8d94.jpg,"Triol (Триол) - Мышь сизаль с пером, Игрушка для кошек, 14 см",500 
2812f472-7ce5-41a5-a8d3-27d24953adbb.jpg,Каскад - Ошейник №35 кожаный с синтепоном,2 100 
e2f961d6-1ab5-4ffd-99b1-45f894dbecd5.jpg,Биовакс - Ошейник для кошек 35 см,900 
a17621ee-8dc7-45bb-afc3-435a9c293b73.jpg,TiTBit (ТитБит) - Корень бычий догодент 2,1 800 
7379c03e-e355-47f6-a092-dd3c91459d6f.jpg,"Royal Canin (Роял Канин) - C.C. Club, корм для взрослых собак (развес)",1 500 
0821604f-f2d4-449e-87ec-cf915b476ed4.jpg,Дарэлл - Сумка-переноска ЧИП - Туннель №1,3 800 
86bdd773-5f03-440e-bfe4-0866826b5229.jpg,"Whiskas (Вискас) - Влажный корм для кошек рагу с говядиной и овощами, пауч 85 г",130 
74d300a1-68d6-4ad7-8f66-de79047b0a37.jpg,Каскад - Ошейник №35 кожаный двойной без украшений,3 500 
5ea2821d-f92d-4c53-96d8-3a0bd356d55a.jpg,"Мнямс - Лакомство Палочка для кошек цыпленок и печень, 3 шт",500 
1a237814-9d03-446b-a5ed-e4b857112b90.jpg,Вака - Поводок капроновый 30 мм 3 м,1 500 
faa7496d-ba00-42d8-8b88-7d990adaf49a.jpg,"Анандин - Ушные капли для кошек и собак, 5 мл",900 
ff40506b-5fc4-4351-9cf7-2af730dc54c5.jpg,"Биовакс - Шампунь для кошек длинношерстных, 355 мл",1 000 
bb2d9092-ceb8-4bfa-87d9-7e43468ca3c2.jpg,"Triol (Триол) - Мяч радужный для кошек, 4 см",250 
f65f1286-07f2-468a-be4c-fd506df8a76d.jpg,"Edel cat (Эдель Кэт) - Колбаски лосось + форель, 1 шт",220 
869f3ed8-1ecb-4e7b-8686-23b9bcc56d15.jpg,"Monge (Монже) - Indoor Cat, корм для кошек, живущих дома (развес)",2 500 
52ee78f5-6f7b-4f2d-af76-4a4d3f1ac799.jpg,"ZooМИР - Поводок брезентовый (35) 1,5 м",2 000 
90577cef-98a6-4ffe-8c4a-6754bf553e21.jpg,Little One (Литл Ван) - Корм для кроликов 900 г,1 800 
94fd1b1a-71d7-473c-81d9-257fe40e7eda.jpg,"Ночной охотник - Сухой корм для кошек мясное ассорти, 10 кг",Нет в наличии
b58afc5b-6f66-4643-b42d-11771ff30d37.jpg,Каскад - Ошейник №45 2 слоя не украшенный,5 000 
a3808c3d-59a2-492c-8d59-a81c7678d5ae.jpg,Амуниция - Шлейка и поводок для кошек,750 
767f1179-24da-4109-bc8e-16f5611ccb14.jpg,"Royal Canin (Роял Канин) - Sphynx 33 корм для кошек породы Сфинкс, 10 кг",36 800 
bd2ff23c-18b8-48f3-ae4f-b8b76c510a2d.jpg,"Royal Canin (Роял Канин) - Medium Adult, корм для собак средних пород (развес)",2 200 
20b86ff3-f6d8-4a94-8fcd-90e614c34b17.jpg,ZooМИР - Поводок брезентовый (25) 7 м,3 000 
a63fe2c8-15b0-42c6-a856-52b168747edc.jpg,"Мнямс - Лакомство Палочка для кошек лосось и форель, 1 шт",200 
1525b340-bb2d-4f66-b50d-2948ca018c72.jpg,"Фармакс - Омега для кошек с биотином и таурином, упаковка 90 таблеток",600 
8ba73f29-0c40-4b7a-b316-3760a2a68023.jpg,Каскад - Ошейник №20 кожаный с синтепоном,900 
da63993a-49e2-4f02-a54c-cfdf68b3095c.jpg,Каскад - Ошейник №35 кожаный двойной с украшением,3 506 
cbfb5560-2275-41a2-8e20-44c707ccbf02.jpg,"Мнямс - Лакомство Палочка для кошек индейка и ягненок, 3 шт",500 
4260d583-119d-464d-be37-9dbd783d5047.jpg,"Гестренол - Таблетки для котов для регуляции половой охоты, упаковка 10 таблеток",1 000 
3d411560-99c3-443b-bd01-ec782ab63b6b.jpg,Амуниция - Ошейник кожаный №12 клепанный,800 
169a9f2d-0ce6-4daa-9c1e-0dfc06b27112.jpg,"Мнямс - Лакомство Палочка для кошек индейка и ягненок, 1 шт",200 
2a44c345-e016-480d-b782-70005827505d.jpg,"Flexi (Флекси) - Рулетка Design ХS 3 м, до 8 кг трос (синий)",5 000 
1ee262a6-6ec1-49c7-a51c-64e4d0f782ee.jpg,Дарэлл - Когтеточка «ЧИП» столбик с мышью (джут),4 500 
d8f37de8-4444-41ff-9409-4b35c44b293e.jpg,Triol (Триол) - Коврик под миску 43x28 см МВ-02,1 200 
18ee6e63-9254-425f-ade9-7d5a016743dd.jpg,"Leonardo (Леонардо) - Сухой корм для кошек с курицей, 15 кг",37 000 
659a288f-7176-47c6-90eb-f9a4155595ab.jpg,Каскад - Ошейник №36 2 слоя не украшенный,3 500 
a13a3388-f51e-4e56-b049-8a50e162d218.jpg,Чистотел - Ошейник домик для кошек 35 см,350 
1e2ad2f1-6a31-47ba-9a44-c4b6a044e6cf.jpg,"Whiskas (Вискас) - Влажный корм для кошек желе с индейкой, пауч 85 г",130 
2f4a5f11-4647-489e-84d0-0dd2ea345fb4.jpg,"Edel cat (Эдель Кэт) - В соусе утка и кролик 0,1 кг пауч",400 
a99c10bf-05ec-4492-a360-32f60682b0f2.jpg,"Royal Canin (Роял Канин) - Indoor 27, корм для кошек, живущих дома, 10 кг",33 600 
4c163241-48fa-4d03-846f-17215c5fe3c0.jpg,ЗООмир - Корм-лакомство грызунчик-4 овощное ассорти 200 г,800 
05ac7698-632f-47ff-b4c3-0dc089c28dd6.jpg,"Гестренол - Капли для котов для регуляции половой охоты, упаковка 1,5 мл",1 300 
854cf68d-237b-4ef3-badc-28375edd6278.jpg,"Royal Canin (Роял Канин) - Maine Coon, корм для мейн кунов (развес)",4 300 
11c87d0e-dfe0-48d7-a435-e5fff658f2d6.jpg,Triol (Триол) - Поилка для грызунов B2-500 ML,2 800 
574c97cb-d50e-4b72-955b-77e92994d27d.jpg,"АВЗ - Бриллиантовые Глаза, глазные капли для собак и кошек, флакон 10 мл",1 600 
15e1c8c1-f097-424a-8561-4750c204cff1.jpg,Сибирская кошка - Туалет глубокий с бортиком(2385),1 400 
e8eb96a6-5a09-4788-8c92-caa27e289245.jpg,"Cat Chow (Кет чау) - Adult Duck, корм для кошек с уткой (развес)",1 300 
a845c355-f157-4d32-945d-6f9972db1ebe.jpg,"Fresh Step (Фреш Степ) - Впитывающий наполнитель, 9,52 кг (18 л)",11 000 
0fe196b2-80d0-4a1c-b1af-c1ccd4698de4.jpg,Лесной - Древесный наполнитель (развес),300 
92da2bf8-9e6a-4f50-bd8a-0e2a7a6329bf.jpg,"Mr.Fresh (Мистер Фреш) - Ликвидатор запаха кошачьих туалетов 2 в 1, порошок, 500 г",1 200 
52ce7ecc-b04d-402d-a26a-15fc26bea2c8.jpg,БАР - Корм для рыб гаммарус измельченный 25г,150 
8300d207-efdb-4bb7-a7a5-f5ff5c2867f3.jpg,"Ешка - Кормовая смесь для волнистых попугаев с орехом, 500 г",450 
3afa232b-adf7-457d-8899-732be4379ae6.jpg,№1 - Поилка для грызунов 500 мл №1 1404,3 000 
b1e82a54-705e-430c-95f1-29e93f0a92c1.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и кроликом в соусе, пауч 85 г",185 
d8eaa546-4369-49e3-aecd-977cad384b78.jpg,"Whiskas (Вискас) - Мини-филе курица желе, пауч 85 г",130 
8838d7ca-95c4-438e-a2d2-e879a15d7976.jpg,Сибирская кошка - Наполнитель лесной 7 л,1 300 
